Report generated on: 11-03-2021 14:09:38,,,,,petroleum and other liquids CO2 emissions (MMtonnes CO2),,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Colombia,26.40311721,27.1346247,30.77743009,31.20992658,31.68026658,29.99596736,31.40278587,33.42676603,31.91941987,30.12025493,30.00560617,29.32896286,29.29643553,28.31067723,30.62963093,29.95016881,31.54931797,30.37301624,31.11968784,30.70595194,32.40495293,38.08637511,41.9020752,43.24057473,43.73765927,44.128775,47.050113,43.875749,45.816049,
        Comoros,0.07,0.06686,0.06749,0.0675,0.07069,0.08324,0.08346,0.08346,0.08661,0.08661,0.09636,0.09954,0.1,0.1,0.1,0.1,0.1,0.12101908,0.1,0.2,0.1,0.15132232,0.154672246,0.191959712,0.170729892,0.185697,0.218082,0.253686309,0.231873529,
        Congo-Brazzaville,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.8,0.6,0.6,0.8,0.7,0.9,1,1.1,1.2,1.386826081,1.4,1.7,2.5,2.180008554,2.07884107,2.488601088,2.53044314,2.430184,2.414699,2.03944,1.70713,
        Congo-Kinshasa,3,3.2,3.7,3.9,2.9,3,3.2,3.1,2.9,2.5,2.1,1.4,1.2,1.2,1.7,1.7,1.7,1.748578384,1.651114179,1.7,2.4,2.779647673,2.674933097,3.984351725,5.402108766,3.137905,2.361898,2.566063454,2.556642454,
        Cook Islands,0.04738,0.03862,0.04785,0.04783,0.0478,0.04763,0.04775,0.04775,0.04774,0.04774,0.05729,0.05729,0.05729,0.05728,0.06365,0.07001,0.07469,0.070105621,0.09059,0.07309578,0.0782276,0.0877292,0.093050737,0.0924799,0.0975472,0.0902632,0.093490855,0.09957866,0.1000789,
        Costa Rica,2.6910752,2.837850293,3.577531496,3.935262231,3.998367711,4.592163329,4.340589425,4.465104193,5.04020188,5.509119911,5.391587364,5.321156954,5.437998141,5.535909585,5.326839709,6.177888048,6.656301553,7.222929559,7.14564738,6.743454787,6.961416366,7.080506921,7.03164314,7.314636,7.455906,7.141522,7.721484,7.894798,7.922236742,
        Croatia,--,--,9.7,9.6,12,14,12,12,14,14,13,13,14,14,14,14,15,12.30316914,14,13,11.0758518,10.88611214,10.00251593,9.415334533,9.211140732,9.591954,9.526353,10.611656,10.316187,
        Cuba,35,32,29,28,29,31,30,32,32,32,31,32,33,32,32,28,24,17.9,27,27,26,23.11137079,26.43233971,25.082107,25.56727604,27.817894,20.917252,18.983948,20.656989,
        Cyprus,4.9,5,6,6.1,6.8,6.7,6.7,6.7,7.2,7.8,7.4,8.1,7.9,8,8.5,8.7,9.2,8.825739809,9.7,9.2,8.506922317,8.433691851,7.92339795,6.967086965,7.033255743,7.309827,7.953099,8.197774536,8.225635437,
        Czech Republic,--,--,--,24.41758628,24.98731928,22.507045,24.123485,23.761489,25.038721,24.986161,23.615084,25.199283,23.514115,25.057264,27.87632,29.020021,28.371709,28.460982,29.669637,28.500256,28.315467,27.694878,27.531874,26.851926,28.89232,27.438308,24.629889,31.257393,31.478381,32.018241
        Côte d’Ivoire,4.6,3.8,3.9,4.4,4.6,4.5,4.7,4.1,3.8,4.4,4.7,3.2,3.3,3.3,3.9,3.9,3.8,3.2,3.4,3.5,3.7,3.350619423,4.731532168,5.543805597,5.971603927,6.345646,6.924189,6.898578,7.057397,
        Denmark,29.909273,30.236505,29.959835,31.200389,33.509971,33.009026,33.611178,31.62419,31.610009,31.181622,29.648515,31.315787,28.515937,29.662181,29.24639,28.948285,30.265116,30.297767,28.693959,26.225922,26.214173,25.787376,24.658425,24.579301,24.573901,24.917433,25.281813,25.228668,25.54771,26.442479
        Djibouti,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.7,0.982168865,1.7,1.2,1.2,0.642204383,0.851072193,0.913989133,0.926809265,0.817987,0.742559,0.64035796,0.67469826,
        Dominica,0.05852,0.05845,0.05909,0.06224,0.07183,0.08101,0.08119,0.08116,0.0843,0.0843,0.07958,0.1,0.1,0.1,0.1,0.0924,0.1,0.121246436,0.1,0.1,0.1,0.170095617,0.169940463,0.161291994,0.171749852,0.18743,0.18855,0.177435879,0.185983702,
        Dominican Republic,9,8.7,9.8,8.6,9.7,11,11,12,12,14,16,16,17,16,16,16,16,16.1,16,15,15,16.06265696,16.68131538,16.11864104,15.42936892,17.599679,18.940826,16.850974,19.99625015,
        Ecuador,14,14,17,15,17,17,18,18,19,18,18,19,20,20,21,22,24,23.4,25,28,35.514934,35.220785,35.982397,37.379665,40.908733,37.747777,35.724943,33.75358,36.552086,
        Egypt,71,69,68,68,70,71,77,81,84,85,80,77,80,81,87,89,93,91.1,96,96,94,110.7391604,112.0678519,119.5218753,128.2817096,128.842568,121.225381,115.411349,109.739597,
        El Salvador,2.4,2.8,3.2,3.2,3.6,4.6,4.4,4.7,5.5,5.5,5.5,5.7,5.8,6.1,6,6.2,6.2,6.2,5.9,5.9,5.9,6.400534836,6.557031794,6.267014492,6.439962738,6.885362,6.927231,6.310517,7.044276,
        Equatorial Guinea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.233968033,0.3,0.5,0.7,0.74595765,0.725720922,0.748097712,0.747252439,0.735235,0.752646,1.0748218,1.488709079,
        Eritrea,--,--,--,--,1,1.1,1.1,1.1,1.3,1.1,0.6,0.8,0.7,0.8,0.8,0.7,0.7,0.684580762,0.7,0.5,0.7,0.531904357,0.554351959,0.578195163,0.603668434,0.593500088,0.630792,0.65482281,0.74245581,
        Estonia,--,--,5.117977,5.380994,4.935003,3.829567,4.174598,4.121684,4.055676,3.756624,3.128766,3.572471,3.703456,3.580636,3.737662,3.772474,4.028735,4.31798,4.247266,3.7194,3.966148,3.875526,4.691533,4.564372,4.265394,4.318708,4.328328,4.389655,4.447382,4.284025
        Eswatini,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.656187559,0.6,0.7,0.7,0.700708372,0.69791521,0.727409485,0.753466931,0.787861,0.875217,0.860772853,0.863631816,
        Ethiopia,3,2.5,3.6,3.3,2.2,2.4,1.7,1.7,2.6,3.3,3.5,3.6,3.9,4.2,4.3,4.6,5.2,5.6,6.4,7,6.5,6.917992642,7.209816966,8.748884966,9.914503869,10.619113,12.0749,11.8621819,12.73339586,
        Falkland Islands,0.02519,0.02519,0.02544,0.02544,0.02545,0.02861,0.03178,0.03496,0.0286,0.0286,0.0286,0.0286,0.03178,0.03177,0.03505,0.03813,0.04129,0.047677067,0.04578,0.047639359,0.047663984,0.042068957,0.042994213,0.042960265,0.042945483,0.045031,0.046769,0.044814699,0.04640807,
