Report generated on: 11-03-2021 14:22:01
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","energy consumption per GDP (1000 Btu/2015$ GDP PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-34-BGR-TBTUUSDPP.A","        Bulgaria","21.0144989582389","19.841064339893485","20.083806381914346","19.851331614092647","19.22732119609622","19.17693717197458","18.199353312865007","17.032573418414124","15.614692742355176","14.854042621365425","14.88645066197281","12.832705857628897","13.402318672960975","13.117229018860492","13.155867211807685","11.66038206378251","10.94939851798082","11.687533045113938","10.102200640093795","10.111753965679945","9.690190410765133","9.341694971349126","8.964002795331357","8.652257842528487","8.036175779983003","7.857182431260757","7.540664356736501","6.7337402056866456","6.243531906020607","5.867372905894771","5.964754029633557","6.246544554924502","6.051970010583759","5.685492115676948","5.907969781071729","5.981181363337352","5.51188235572109","5.371785209343051","5.191572051486297",""
"INTL.47-34-BFA-TBTUUSDPP.A","        Burkina Faso","0","0","0","0","0","0","0","0","0.9493714529675675","0.8329010627810371","0.8625580571611358","0.9148921602638934","0.9231798631137483","0.9900267403752143","1.0897778146709207","1.0540233457607449","1.009879400259963","1.4994324290508025","1.2552292202461275","1.2166419613181931","1.0848051776570167","1.1306737211712157","1.1351773389558717","1.165263812923223","1.0046039625181697","0.981777830644321","0.911083288496762","1.2397466182403867","1.2796773283858038","1.1676545643842409","1.1752725892417863","1.255619970696758","1.3907399049762894","1.5761853773528771","1.4069010088741545","1.7207101504849676","1.3673557306603328","1.589543617881176","1.2172982370587193",""
"INTL.47-34-MMR-TBTUUSDPP.A","        Burma","0","0","0","0","0","0","0","0","3.23239260842121","3.2480367677846753","3.117368485113716","2.9541282511163685","2.8666637869262517","2.868762556018387","3.130781749901227","3.1125573251159633","2.9653551711977517","3.0000651027299203","3.0772248449667368","2.8770106991437916","2.949052495755388","2.420321146918558","2.555218672760308","2.5445987284804317","2.3140617003027852","2.6254704768868606","2.1872669881605646","2.0984339502739395","1.7910668389804654","1.580314482558979","1.5228891045067392","1.5799558860408889","1.7586688601293539","1.8877523925052035","2.0406321979100333","1.771256886354379","1.9148551441374684","2.3968307674355036","2.390865117828746",""
"INTL.47-34-BDI-TBTUUSDPP.A","        Burundi","0","0","0","0","0","0","0","0","0.8414842010676737","0.921723488984122","0.9369931924534164","0.9951165841600255","0.9063336296923103","1.0900907436136016","1.1808918033413651","1.2397406168355871","1.406722024518684","1.4025155817474049","1.3523988752093785","1.318033728882335","1.0956350305388158","0.919689527615319","0.8485035976979926","0.6716247807889235","0.7466449565128188","0.6202415708527267","0.6816115793326206","1.0306053821589167","0.6469012143649682","0.6292234488396153","0.686369867854732","0.7265159971570069","0.6520665643535805","0.6904069480468472","0.5746742409967441","0.8277691194012398","0.9707055609609179","1.0999368608416094","0.9208320703928601",""
"INTL.47-34-CPV-TBTUUSDPP.A","        Cabo Verde","0","0","0","0","0","0","0","0","1.1216909359920406","1.2931594377253304","1.284321999360716","1.2665067613226653","1.4553282593346086","1.373012848259435","1.5273946633008928","1.392088984015356","1.4717315472485135","1.3634714577832996","1.264543449981241","1.1306050590301493","2.650373543908719","2.7797389625804754","2.8693328201632133","2.724357640380635","2.8568541874836906","4.182990122068609","4.0354394347342435","4.139433713082327","3.933523580799647","3.773780615423076","3.981951327830649","4.5577157525368674","4.045458725103614","3.949648578295196","4.23392127578147","4.141501282898919","4.131153720051973","4.22636928521082","4.091440890659239",""
"INTL.47-34-KHM-TBTUUSDPP.A","        Cambodia","0","0","0","0","0","0","0","0","0.49297032280333375","0.49639885222381636","0.4965218227949142","0.48981657028160336","0.4603306306863898","0.442234318977768","0.6802984366734162","1.7579024963069927","1.8244629514980055","2.0661177334890555","2.306967760046643","2.1072819734951302","1.7638693569876889","1.7391064177543203","1.6283607715086748","1.6312563937799327","1.5252562748368381","1.5278357733559114","1.4930534452728037","1.5895079352146624","1.5636248279905367","1.9306796454373367","2.0838252143159623","2.014810795581068","2.1081972618507816","2.080445207074425","2.143570263885633","2.294018528574701","2.6769047445642964","2.644804168381953","3.103540825885772",""
"INTL.47-34-CMR-TBTUUSDPP.A","        Cameroon","0","0","0","0","0","0","0","0","1.7092196090653162","2.020619212143153","2.171330718165359","2.2779025853880985","2.361128564063212","2.268963098982243","2.3718679025727676","2.3474546222034616","2.2399528973419502","2.2358448738307533","2.1396714526959","2.010671768007002","2.0168983489647254","1.9263205540191268","1.8208444837496325","1.8653497224495532","1.8210065509510625","1.7226697328402267","2.0104383433287696","1.910153350379842","1.873551998549318","1.965610386507753","2.1714341018163346","2.1962311161919112","2.096348470338312","1.7490877209241005","2.0640166295517886","1.956260858695452","1.8252207233477267","1.9210306302661888","1.8553140850814396",""
"INTL.47-34-CAN-TBTUUSDPP.A","        Canada","13.766178972173785","13.129787959070036","13.00786672708941","12.63069719034113","12.615383945154651","12.504676060178863","12.38660062172639","12.28514041758829","12.27774963771514","12.132679400496041","11.831728410190742","12.216247257217896","12.497404132111354","12.455645106388275","12.285018315789129","12.12504319265064","12.285057169336003","11.78911264471027","10.99529865005555","11.00895740150959","10.506234681820137","10.3633429993362","10.336243403153349","10.43135802242276","10.345397049045541","10.135360359197437","9.94393900683948","9.70600555904973","9.447860293125148","9.561675290158675","9.618143634081802","9.566046829352636","9.513373458520899","9.565737671583541","9.340514665687078","9.248963685540165","9.083208109371073","9.03272193656308","8.943323268672247","8.518639651685794"
"INTL.47-34-CYM-TBTUUSDPP.A","        Cayman Islands","0","0","0","0","0","0","0","0","3.1621794121121405","2.8977849256616115","2.7210154346769637","2.6575104048003215","2.6151032133225205","2.3650433418125534","2.590939206950577","2.648576096717729","2.5295331927121354","2.3915992083862956","1.8357642935175698","1.7756701804759494","2.5644378157385734","2.5824525766943833","2.631590670175462","2.6133359698147647","2.448121496928813","2.3665055762440734","2.2946895598900867","2.7198902926546435","2.7397576384378004","2.739581204659156","2.829118487105182","2.944030732170949","2.6869264420035477","2.618851241756523","2.594135284279163","2.668405420546597","2.5553177971694656","2.882649645479727","2.5748994882045744",""
"INTL.47-34-CAF-TBTUUSDPP.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","1.2473875403973549","1.2925047625693848","1.2600063304747393","1.3791338872655936","1.375532723207745","1.3106798592998485","1.4863575870088166","1.4003198717202918","1.3336688808927364","1.2594973998594519","1.3243745784444168","1.3590281423996773","1.364197761103774","1.4012390850064411","1.4596883589134548","1.4728594660506351","1.4720424410134842","1.428306562385101","1.4106719485086754","1.367237302319778","1.3401708886942436","1.354551690264526","1.3324191646780605","2.050412438464742","2.1526787342026137","2.0707261312217193","1.9864997826656263","1.8563365044316533","1.7977006980411288",""
