Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brunei Darussalam,BRN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.051431296,0.016143792,1.343987075,6.327914174,7.503880849,6.624369548,6.175426141,,6.65302347,2.562802677,0.339587982,1.958233683,2.56985332,3.440307769,7.975906783,4.755220306,3.912846916,4.14360043,5.734012352,3.784666859,2.620115552,3.3882019,4.15561717,4.480901071,5.130359062,4.913448438,3.759262171,4.449039116,6.144506444,6.086521664,5.369282989,6.625123525,6.798593218,6.020619818,5.914004213,5.799534681,6.11954493,7.762738561,5.627985536,5.717179542,5.710511707,5.400799397,7.105723747,11.65637526,8.211069988,8.660149683,13.65864466,10.54346035,
Bhutan,BTN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,BWA,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,CAF,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canada,CAN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.008631816,0.017880806,0.04834602,0.145447768,1.133534513,1.018739014,0.946578613,1.05628273,0.979493944,2.617200151,2.298971108,1.29910417,0.275235248,0.83122455,0.932410207,0.880243411,0.234355073,0.561597111,0.395323941,0.400767118,0.376005689,0.338232926,0.575240178,0.910218134,0.781938198,0.522657393,1.021544822,0.946879104,0.722047607,0.972214403,2.014368966,2.058868488,1.092311844,1.583355404,2.128325878,2.183875705,1.430516606,1.063498975,1.426152299,0.14728456,0,0,0,0,0.014411555,0,0,0,0.069158617,0.049035814,
Central Europe and the Baltics,CEB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.025897967,0.015333847,0.003792873,0.016104596,0.013105552,0.017606812,0.015984379,0.670727481,0.696254505,0.65621404,0.396855099,0.307228564,0.179358744,0.194137811,0.129884994,0.093048971,0.105505022,0.097649495,0.034285996,0.026531097,0.143546978,0.248807658,0.170222555,0.153776293,0.116321467,0.100961053,0.174182341,0.143611184,0.173124229,0.179473009,0.135466344,0.18946107,0.204864025,0.179520084,0.124365202,0.096370445,0.054194677,0.078526562,0.102105713,0.074675066,
Switzerland,CHE,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000785848,0.000469289,6.55E-05,4.09E-05,2.25E-05,3.82E-05,2.34E-05,1.57E-05,1.23E-05,4.63E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Channel Islands,CHI,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.010113627,0.010356627,0.007538066,0.005864204,0.012811453,0.06083334,0.039126969,0.011148617,0.012477166,0.011929495,0.116523669,0.078662353,0.026268381,0.0818298,0.076074702,0.079668313,0.040335317,0.024548579,0.029239307,0.051777756,0.064412056,0.042978532,0.033066297,0.03890438,0.031755811,0.023943406,0.025708509,0.03002256,0.024514997,0.018958861,0.025793812,0.030865844,0.059972434,0.046394852,0.020129447,0.037163758,0.035252441,0.031965751,0.035416509,0.043303255,0.028028669,0.032023716,0.027524784,0.020898277,0.015702755,0.012061081,0.008770875,0.011806017,0.018706314,,
China,CHN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.001377561,0.00016034,0.018448501,0.074717016,0.099163248,0.098069167,0.138530995,0.263939619,0.29295186,0.089955479,0.010422769,0.047272978,0.054492847,0.060905882,0.103237241,0.080129318,0.055620931,0.063213229,0.099106588,0.064588865,0.042972931,0.052502287,0.052578455,0.045561319,0.054188608,0.053414328,0.033063791,0.043398193,0.075754219,0.070012521,0.062857466,0.076661291,0.095900213,0.10656853,0.118691786,0.11685854,0.130936938,0.126108404,0.102171039,0.11932152,0.11600519,0.104510352,0.119906956,0.139074902,0.088815268,0.099023552,0.171450953,0.136038062,
