Report generated on: 11-03-2021 14:17:58,,,,,energy consumption per capita (MMBtu/person),,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Cambodia,KHM,0.776192901,0.795982905,0.772822037,0.745937459,0.722885083,1.987816697,2.119721986,2.42689196,2.762812896,2.775818576,2.515580233,2.611112942,2.557790553,2.73308595,2.774317021,3.098168342,3.302958539,3.818165377,3.948491121,4.806835591,5.413531031,5.516059638,6.090544163,6.354327598,6.896235115,7.773833969,9.545039942,9.935518911,12.34720542,
        Cameroon,CMR,6.597102911,6.461073003,6.301783095,5.417424771,5.623035334,5.602010588,5.430524566,5.555570432,5.41279999,5.168306943,5.229746865,5.077166595,4.871440241,5.080696192,5.155609463,4.842688128,5.689775383,5.517623629,5.448751296,5.683562845,6.317571734,6.473704896,6.285932887,5.379894769,6.542950369,6.378436121,6.052553546,6.437099861,6.296329678,
        Canada,CAN,384.379747,383.7922027,391.4990658,396.1954437,403.8825293,405.1479641,412.8034816,409.0087031,393.0558151,410.5115366,408.2304253,405.4568708,412.0967319,419.5810357,424.9856283,425.6592024,424.3123804,418.6552652,407.1797579,395.485873,405.5791187,412.0211943,412.4646362,419.9346554,417.5958576,413.1342287,405.1790475,410.2246435,410.1973903,392.3171935
        Cayman Islands,CYM,163.6930722,154.5038345,149.7414878,135.6118732,149.0380167,151.4725989,143.4204108,134.781128,127.1399322,120.5632608,167.996956,163.7998502,164.4942912,162.0434185,149.1012396,149.2573673,146.9736453,170.4821825,170.0094017,153.5204418,150.5585053,155.730691,141.4029169,137.2223938,137.2151227,142.7673207,139.3411025,160.0201381,146.9783777,
        Central African Republic,CAF,1.507461047,1.541009661,1.44183447,1.52778416,1.557242289,1.517852572,1.550201629,1.511398384,1.46902774,1.435617192,1.503755699,1.518787943,1.483336735,1.387324859,1.455688839,1.474573629,1.513940144,1.499082249,1.492466012,1.465161881,1.485825499,1.553477635,1.598890383,1.56100355,1.634223105,1.629603954,1.621519279,1.563766866,1.545553977,
        Chad,TCD,0.812014467,0.768985785,0.746873209,0.347076747,0.367316688,0.355312361,0.344453308,0.359532897,0.347198731,0.334977519,0.421477039,0.38950783,0.369955519,0.351858006,0.356964678,0.370427992,0.363059941,0.354161371,0.344780018,0.352345941,0.369558119,0.375965088,0.364498216,0.355541735,0.344008962,0.3409816,0.340369507,0.91302856,0.91006098,
        Chile,CHL,42.99406764,42.27994921,46.15267388,48.37324577,51.12527351,55.11784733,58.21636948,63.50642716,62.04651383,64.1527644,64.28751354,65.89332804,68.36595617,69.85712223,74.09479764,77.09618536,77.69637647,76.45993222,76.87714162,74.42803567,73.95323522,77.635627,75.90255452,78.12624695,75.94678247,77.90388838,81.80702007,82.5439492,83.0375023,84.29349946
        China,CHN,24.06984665,24.05570414,24.90912516,26.55032857,28.27427888,30.18241452,31.3854524,29.60171783,30.17817638,31.12399322,32.87802623,34.27091467,36.46518719,41.97268537,50.31426534,56.08141563,61.59974808,65.99427181,68.63762548,73.85491908,82.01540753,89.41162807,95.10362364,97.75611094,98.38773075,96.64597217,93.31395586,97.99957655,103.3119883,
        Colombia,COL,28.49575249,28.23679461,27.81544769,29.88214007,30.76972074,30.58620702,32.11155681,32.02824654,31.90276472,30.19786428,29.80004901,29.32936845,29.05082311,28.79218519,29.54219063,28.89255592,29.90495252,29.60625481,29.14385876,28.44918071,28.64941921,32.15101469,33.12668447,34.00728655,35.63908258,34.60970253,34.72902598,34.38546172,34.72154425,
        Comoros,COM,2.2100074,2.071514832,2.015373558,1.953847812,1.89889073,1.845229509,1.800181838,1.748390207,2.074802198,2.022094987,2.757950265,2.808519846,2.758824085,3.442866277,3.690971184,3.461867517,3.933780185,2.537889995,2.5257527,3.007111271,3.486406782,3.057194893,3.102263249,3.613665374,3.151853766,3.321509837,3.805515607,4.339188238,3.880660298,
