,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
32,"Congo, Dem. Rep.",COD,92.04773164,95.13881223,95.87523399,96.11327319,96.60913014,96.89567523,96.96158323,97.05855877,96.84997164,96.99702559,97.94029998999999,98.34290314,98.27030182,97.97200012,97.88249969,97.42220306,97.33319855,97.17209624999998,96.96579742,97.01930237,96.80249786,96.20960236,95.47480011,93.91760254,92.87229919,95.81829834,97.03109741,96.69979858,96.38369751
33,"Congo, Rep.",COG,65.41378681,64.5626788,67.60286909,68.41274896,76.47094224,69.79578171,75.40966863,80.1529571,79.73475522,76.95472981,64.85569763,61.17750168,68.52950287,61.99069977,62.930801390000006,63.10570145,69.42279816,60.341400150000005,56.86420059000001,56.02949905,54.79859924,64.61730194,65.30439758,62.48170089999999,62.16070175,64.15080261,67.61270142,69.33439636,69.854599
34,Colombia,COL,38.25119669,37.00122769,33.22753559,33.20478787,33.97223636,33.69990182,33.77539831,25.80034772,25.938683760000004,29.13546988,28.034000399999996,27.24029922,28.79800034,30.699399950000004,29.17700005,29.08069992,29.688899990000003,30.421899800000002,29.96629906,30.910499570000002,29.74500084,28.90640068,28.903600690000005,32.29169846,32.3832016,31.599500659999997,30.735799790000005,32.52899933,30.71820068
35,Comoros,COM,49.83857351999999,50.71266094999999,50.24473258,49.95204542,59.95919562,59.54349639,60.80219237,59.78107979,49.96135060000001,49.59409627,48.95610046,48.68500137,49.81769943,43.29650116,42.55950165,45.15209961,41.6352005,55.80250168,54.80929946999999,49.075000759999995,46.61800003,50.17340088,67.64299774,62.326301570000005,65.83049774,64.16560364,60.49959946,56.42440033,55.00590134
36,Cabo Verde,CPV,36.63404152,38.08533877,37.96103481,39.48194536,40.41188863,39.07864583,36.16141185,36.57975968,35.25363963,31.17120826,38.51959991,37.17639923,36.79270172,34.08959961,32.12599945,24.45129967,22.58289909,21.82920074,23.81110001,22.08359909,21.220800399999998,20.78039932,24.259700780000003,25.94070053,26.11459923,26.349000930000003,24.624599460000002,22.87639999,22.99880028
37,Costa Rica,CRI,45.3807809,44.68947084,35.02787271,36.25917298,35.80152388,34.97356676,36.65421713,33.56391353,28.89051122,29.89049818,32.94649887,32.10760117,32.53820038,33.30450058,39.15840149,41.72940063,42.39580154,41.1853981,40.69839859,40.71640015,40.38560104,38.01760101,38.06480026,37.79970169,37.61650085,38.32630157,36.80580139,36.20420074,35.70479965
38,Cyprus,CYP,0.495929367,0.36581034700000004,0.34709919,0.334859875,0.723186986,3.35429847,3.3570690830000003,3.2940707810000003,3.2621682119999997,3.226642523,3.097300053,3.048099995,3.177099943,3.2578001020000005,3.3090999130000003,3.3650999069999994,3.516700029,4.356900215,5.49849987,6.343800067999999,6.580699921,7.701000214,8.729599953,9.859800339,9.626899718999999,10.54349995,10.40719986,11.07619953,12.14360046
39,Czech Republic,CZE,3.571507027,3.9751824500000006,5.900118202000001,5.817441516000001,5.907756675,5.302877728,5.241574228,5.648484534,5.966940712,6.4771494810000005,5.941599846,6.287199974,7.276000023000001,6.724299908000001,7.134099960000001,7.534900188,7.881299973,8.322099686,8.993100166,10.2510004,10.95219994,12.157199859999999,12.80430031,13.956199650000002,14.86079979,14.84549999,14.78129959,14.465399739999999,14.725299840000002
40,Germany,DEU,2.098033775,1.9886328090000003,2.062621895,2.110931085,2.266202061,2.319748996,2.252173834,2.8244218219999997,3.0451189060000003,3.263712146,3.700500011,3.899699926,4.41260004,5.435500145,6.3442997929999985,7.278900146000001,8.594400406,10.46510029,10.24629974,10.71700001,11.60599995,12.54380035,13.64190006,13.62769985,14.024700160000002,14.550299639999999,14.241399770000001,15.21590042,15.79559994
41,Djibouti,DJI,26.59282984,27.205443000000002,28.17450585,29.05074092,30.954448279999998,31.174132909999997,32.02656213,31.559595179999995,31.94989459,32.6810786,31.443199159999995,31.675100330000003,32.44469833,32.88119888,33.62120056,33.0945015,33.00680161,32.52389908,33.14339828,34.0,32.54430008,33.93379974,32.48279953,34.03990173,30.81719971,28.180200579999998,24.910800929999997,24.1291008,27.83580017
42,Dominica,DMA,14.60310056,14.50519587,14.4936266,13.63053081,13.52708613,15.64742183,20.84830851,15.517312380000002,15.00513746,14.07680977,11.03429985,9.385800362000001,13.57509995,10.53810024,11.53460026,10.77190018,9.843799591,8.630200386,8.279700279,9.052399635,10.10459995,13.619600299999998,11.14410019,11.39229965,9.796600342,8.627599716,10.71020031,9.656700134,8.167099953
43,Denmark,DNK,7.041559801,7.070898966000001,7.747445467,7.701496592000001,7.330399326999999,7.5121780320000004,7.261181099999999,8.102729547000001,8.517843392,9.066353467999999,10.71619987,11.10439968,11.84640026,12.69919968,14.416799549999999,16.09670067,15.24629974,17.68000031,18.52809906,19.31889915,21.18169975,23.80979919,26.91200066,27.097799300000002,30.22839928,32.97779846,32.12960052,35.50569916,35.32870102
44,Dominican Republic,DOM,28.01157941,28.16324308,25.35685792,26.848086,24.43897354,22.3363448,20.31094881,18.2511336,19.751092,19.53729021,19.13870049,18.92810059,17.99020004,18.97820091,20.794799800000003,19.53730011,18.13319969,18.03420067,17.81959915,17.43239975,17.03190041,16.86829948,16.59259987,16.6590004,17.42779922,15.01399994,15.41930008,16.98150063,16.08819962
45,Algeria,DZA,0.177228303,0.323692176,0.289771221,0.47634150700000005,0.403959587,0.42248031499999994,0.38952617100000003,0.472147669,0.5440709420000001,0.51001769,0.427399993,0.42770001300000005,0.514800012,0.46909999799999996,0.44179999799999997,0.584699988,0.408699989,0.41139999000000005,0.300599992,0.31240001300000003,0.258100003,0.177300006,0.18039999899999998,0.134100005,0.068700001,0.059000000000000004,0.080200002,0.143600002,0.19329999399999998
46,Ecuador,ECU,24.19854913,24.163098899999998,20.80035871,21.61848328,20.85316821,20.35412872,19.29146026,16.54279275,18.19074897,21.05577975,19.42849922,17.05459976,17.0951004,16.55019951,16.73200035,16.15789986,14.19229984,15.876999859999998,15.31999969,12.874500269999999,11.78789997,13.154100419999999,13.20170021,11.84759998,12.178299900000003,13.07359982,14.754099850000001,17.05130005,16.330200199999997
47,"Egypt, Arab Rep.",EGY,8.50246618,9.052034733,8.715058342,8.839282691000001,9.82896842,9.00303479,8.678075881,8.344740400000001,8.248502183,8.559742102000001,7.820600032999999,7.448800087000001,6.870600223999999,7.027100086,7.2140998839999995,6.188899994,5.983399867999999,5.836100101,5.9418001170000005,5.672200202999999,5.329999924,5.299799919,5.289800167,5.282999992,5.337999821,5.116000175,4.916900158,4.854000092,4.744400024
48,Spain,ESP,10.54443118,9.921293468,8.220908383,9.079810066,9.241375678999999,8.264567068,10.06199181,9.154295862,8.941412248999999,7.681655092000001,7.884399891000001,8.932700157000001,7.416500092000001,8.902199745,8.031900406,7.293099879999999,8.474399567,9.010000229,9.74450016,12.23130035,14.41250038,14.76539993,15.79880047,16.96050072,17.37479973,16.29850006,17.17700005,15.68290043,17.38890076
49,Estonia,EST,3.356078624,3.5262228230000003,5.906591687000001,6.705185471,9.285196116,12.32338571,19.54482955,19.73990197,17.74648609,20.069357699999998,19.83329964,18.93129921,19.41259956,19.81809998,19.97220039,18.84309959,17.14380074,18.54669952,20.24360085,24.07559967,25.389499659999995,25.094499590000005,25.02169991,24.54990005,25.48990059,27.55599976,26.913900380000005,27.03339958,28.842199330000003
50,Ethiopia,ETH,96.63538677,96.71128918,97.74041451,97.19865822,96.88388584,96.62013956,96.35197819,96.22085637,96.10024144,96.18948969,95.55449677,94.59799957,94.53029633,94.23419952,94.13200378,94.72570038,94.54180145,94.16040039,94.09300232,94.17520142,94.11489868,93.56169891,93.29620361,92.49050140000001,91.24919891,91.55770111,90.48889923,90.2696991,89.92310333
