,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
57,Ghana,GHA,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
58,Guinea,GIN,94.56338072,94.05584414,94.32196258,94.16119400999999,94.27011350000001,93.85006004,93.46299999,93.51094723,94.08694815,94.17983504,94.59119325,94.38734266,94.07165972,93.98922592,93.7794444,93.41073803,92.88599171,93.02602135,92.78015423,92.37083311,90.38560276,90.85296404,90.14823363,88.00125276,86.04931718,82.57463513
59,"Gambia, The",GMB,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
60,Guinea-Bissau,GNB,27.86725739,28.59310409,30.947504089999995,31.691159179999996,35.56152207,36.61796529,37.706984399999996,38.25351654,42.21660727,40.31014636,42.27666514,43.24444527,44.30087278,42.48637456,42.97532709,44.16831872,43.1870956,43.40464972,40.36716288,39.04930283,32.66035575,30.921072249999998,30.87615772,32.65370676,37.37859696,37.80811446795358
61,Equatorial Guinea,GNQ,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
62,Greece,GRC,30.01649454,29.869868010000005,32.28274902,33.22425374,36.95167983,41.23647126,40.32338556999999,38.10993023,42.86878071,49.08964852999999,48.27216358,52.81255221999999,53.55272814,54.73352653,56.48111791,54.86179356,50.476523869999994,54.825960419999994,54.27791449,50.80048492000001,51.16665966,52.148507790000004,51.484883630000006,51.35134251000001,52.47931253,54.08044919693211
63,Grenada,GRD,81.05127699,74.12737689,77.82279284,78.27105074,77.18587761,76.86405106,74.48571793,77.13221449,78.23251372,78.27437077,77.90850016,77.78750801,79.7087522,79.5043878,78.03952996,77.03280172,77.64003638,79.65827107,78.05160612,76.12965427,74.29497196,74.63709828,72.23776212,71.30324629,70.70366234,71.71823245468774
64,Guatemala,GTM,19.73422144,18.64176316,16.76037583,14.37212363,4.393470013,17.76927447,17.86149782,22.45268361,20.65677739,22.03207181,23.30767712,24.888909449999996,24.962735589999998,24.554319379999995,27.713821000000003,19.49572623,19.38001494,20.99531346,20.72857308,19.2931334,17.77460884,17.96016537,18.04955731,18.69779908,22.01589404,25.177447221166346
65,Guyana,GUY,81.60450845,81.6714475,81.0604298,81.89985324,81.13193176,81.60281715,81.9531038,81.88620888,82.16912862,81.74121511,80.53891348,80.98183667,80.79182568,83.13716845,81.82083907,80.36822766,80.06276464,78.97654983,77.82372613,74.16960870000001,74.2719228,73.29380076,71.78642365,69.54963749,68.19240140000001,69.54979369
66,Honduras,HND,53.43061152000001,54.81096836,55.70209753,59.07520986,57.46947569,60.59168121999999,61.50844393,62.04562742,60.66479567,62.21294558,61.952267250000006,61.4567562,62.54925387,62.44202269,64.31644718,64.9962453,65.17708139,64.58463741,63.807077070000005,65.52072458,67.15478782,65.3021442,65.34475065,65.26568681,66.08947546,66.47275819177509
