,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Côte d’Ivoire,CIV,11924.9,12362.4,12812.4,13271.6,13735.4,14199.8,14665.1,15130.7,15589.4,16032.6,16454.7,16853,17231.5,17599.6,17970.5,18354.5,18754.9,19171.2,19605.6,20059.2,20532.9,21028.7,21547.2,22087.5,22647.7,23226.2,23822.7,24437.5,25084.4,25731.3
41,Denmark,DNK,5142.32,5156.255,5173.68,5190.63,5208.565,5237.785,5266.085,5287.458,5306.56,5323.855,5342.015,5361.175,5377.825,5392.34,5406.24,5421.438,5439.725,5465.024,5498.08,5526.007,5550.918,5573.058,5594.335,5618.005,5647.535,5689.425,5733.2,5769.03,5796.748,5816.505
42,Djibouti,DJI,590.393,598.391,606.39,614.388,622.387,630.385,647.823,665.262,682.7,700.139,717.577,730.711,743.845,756.98,770.114,783.248,794.637,806.026,817.416,828.805,840.194,854.955,869.716,884.476,899.237,913.998,928.799,943.6,958.4,973.201
43,Dominica,DMA,70.422,70.377,70.546,70.818,71.044,71.105,70.933,70.592,70.183,69.828,69.65,69.671,69.84,70.102,70.387,70.58,70.718,70.797,70.829,70.848,70.877,70.912,70.954,71.019,71.091,71.175,71.307,71.46,71.626,71.808
44,Dominican Republic,DOM,7133.49,7270.41,7408.34,7546.47,7683.71,7819.24,7952.77,8084.41,8214.43,8343.29,8471.32,8598.6,8724.97,8850.32,8974.44,9097.26,9218.68,9338.86,9458.08,9576.74,9695.12,9813.22,9930.92,10048.2,10165.2,10281.7,10397.7,10513.1,10624.7,10736.3
45,Ecuador,ECU,10230.9,10472.5,10716.1,10961.5,11208,11455.2,11703.2,11951.5,12198.5,12442.1,12681.1,12914.7,13143.5,13369.7,13596.4,13825.8,14059.4,14296.5,14535.7,14774.4,15011.1,15243.9,15474.1,15707.5,15951.8,16212,16491.1,16785.4,17071.3,17357.2
46,Egypt,EGY,56134.5,57424.6,58666.8,59880.7,61095.8,62334,63601.6,64892.3,66200.3,67515.6,68831.6,70152.7,71485,72826.1,74172.1,75523.6,76873.7,78232.1,79636.1,81134.8,82761.2,84529.2,86422.2,88404.6,90424.7,92442.5,94447.1,96442.6,98406.5,100370
47,El Salvador,SLV,5270.07,5342.19,5416.33,5490.48,5561.92,5628.6,5689.94,5746.29,5797.76,5844.83,5887.93,5927,5962.14,5994.08,6023.8,6052.12,6079.4,6105.81,6131.77,6157.68,6183.88,6210.57,6237.92,6266.08,6295.12,6325.12,6356.14,6388.12,6420.82,6453.51
48,Equatorial Guinea,GNQ,419.188,432.844,447.269,462.637,479.099,496.768,515.844,536.459,558.496,581.765,606.18,631.662,658.388,686.67,716.949,749.527,784.494,821.686,860.839,901.589,943.64,986.861,1031.19,1076.41,1122.27,1168.57,1215.18,1262.01,1309,1355.99
49,Estonia,EST,--,--,1511.3,1476.95,1448.07,1425.19,1406,1393.07,1379.24,1401.25,1392.72,1383.51,1375.19,1366.25,1358.85,1350.7,1342.92,1338.44,1335.74,1333.29,1329.66,1325.22,1320.17,1315.82,1314.87,1315.94,1315.64,1319.13,1324.82,1328.98
