,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
39,Czech Republic,CZE,300.6389197,504.4611129710944,519.3237449074323,501.85139233083635,561.780404833662,580.0861180022118,597.0506396288949,669.1406384951853,681.5959972692904,694.4067337628082,643.8620489965781,676.3878503619976,723.6490120521349,708.3865980716918,554.0795886,580.9011051,593.9081988,607.3703687999999,629.493156141635,649.2667471591257,657.621002554643,671.1264797554497,669.1718799017293,712.35003239715,699.6435840611114,2004.2246625791297
40,Germany,DEU,3376.783307,3734.8183979999994,3561.8903689999997,3645.515346,3760.5772369999995,3706.4401869999997,4170.252024,3848.155844,3772.110277,3602.670638,3489.6147960000003,3583.9557229999996,3535.098014,3727.834179,3597.1729600000003,3487.631914,3728.1710390000003,3622.5968329999996,3501.5138469999997,3329.211067,3510.79685,3230.1880309999997,3091.58158,3125.3377600000003,2872.573547,2816.614565
41,Djibouti,DJI,562.8141957,556.6239497,605.7843735,576.391575,650.2306763999999,671.0878130000001,688.6860496,755.9760413,786.2953801,805.2197167,852.2504823999999,814.3061445000001,851.618469,794.6209158,708.7403966000002,760.091333,776.5667344,779.6502055,771.9740975,748.1899887,776.6891312000001,781.4695667000003,815.3903426,759.6938007,751.7950982000001,2092.3109984871694
42,Dominica,DMA,861.2606561,888.8756821000001,888.7351530999999,872.3076177999999,823.5764392999998,843.0419961000001,802.0992322000001,808.759277,824.5338699,867.7984088,869.6097556,860.0414231000001,908.2972873000001,953.0582217,952.26824,977.9542028999999,1031.9190210000002,1078.183507,1073.2057519999998,1153.6640380000001,1114.217152,1140.642901,1229.5470300000002,1247.4949550000001,1327.53551,2514.04557732554
43,Denmark,DNK,618.7147582,635.3066838999999,628.6065371999999,572.9509573,599.6704675,687.0820732000001,708.3442955,720.0894417999999,724.9201107000001,639.48411,695.1847246,724.371141,694.6010812000001,693.0039751000002,658.112043,675.3674044999999,667.1040734000001,742.1892017000001,672.4827219,788.0830722999999,784.0520697000002,817.5843625,795.142903,843.9783408,888.9652298000001,2168.809115039583
44,Dominican Republic,DOM,574.5292403,561.9366607999999,564.4096187999999,573.4023355,540.6648712,563.5458965,586.2191241,598.3961356000001,628.5182661,630.0351574,589.6677834,649.7416164000001,657.7509835,670.2500568,711.3467221000001,813.9992206000001,844.987536,889.3894661,907.595252,911.4886957,876.5420805000001,900.6603880000002,905.5866059,848.6290292000001,827.4970387999999,2176.2666888570916
45,Algeria,DZA,2317.4767739999998,2397.714173,2430.374523,2318.982989,2436.012362,2537.07268,2489.3404219999998,2634.649128,2756.218907,2877.9824140000005,3003.7616719999996,3060.8818089999995,3107.867341,3157.227264,3238.502447,3251.397133,3194.0812459999997,3180.0334199999998,3026.3384079999996,2757.691412,2742.877182,2689.6843369999997,2683.367935,2512.105919,2464.641291,2571.340962
46,Ecuador,ECU,6232.731997999999,5841.390649,4283.1586640000005,3639.269192,3752.3873280000003,3624.431136,4043.2899549999997,4010.915768,3695.1706729999996,3462.7669679999995,3374.70839,3541.5120509999992,3415.780621,3798.0382569999997,3893.3954719999992,3846.392943,3775.0350829999998,4243.648,4105.417736,3648.978843,4222.73719,4237.729190999999,4174.387766,4623.279112,4592.616457,4173.326583
47,"Egypt, Arab Rep.",EGY,478.90283850000003,478.12758470000006,472.5057221,474.97986510000004,476.55670130000004,478.0285888,478.9050609,477.89762740000003,478.27774050000005,477.67051860000004,478.49321849999995,482.4053966,482.68861110000006,484.0447523,484.62982810000005,482.9057357,483.9403075,485.59701320000005,486.76086789999994,486.7318732,486.6903069,489.17565139999994,489.1938680999999,492.14516669999995,493.130108,1850.012666567486
48,Spain,ESP,5691.571186,5742.784229,5380.993068,5617.215378,5972.554273,5661.903875999999,6070.2120939999995,6276.951692000001,6319.326601,6283.958258,6262.1920789999995,6410.625234,6728.581405,7077.026648999999,7134.854209,6562.022311,7111.856822,6974.896761,6669.173347999999,6268.300545,6828.783753,6537.637298,6275.770964,6116.227293999999,6213.357766,5924.700125
49,Estonia,EST,392.2810967,589.3669984285352,606.6594478411752,630.2410269351222,676.583982564695,697.513956238931,719.5456523582623,809.9626526817467,824.9495808805545,841.4284693463336,780.4661819523741,821.8801937907067,881.6664708505614,862.1269775630642,814.3163166,703.5002178999999,675.2276024,626.6555845999999,692.6747538087318,714.607960311556,723.3790219989703,741.3884651266295,737.32207650868,782.5289133224308,768.8471621480496,2094.9926795094907
50,Ethiopia,ETH,3846.6252570000006,4043.0991600000007,3954.0032610000003,4001.9022020000007,3836.1118340000003,3981.3521749999995,4191.924184,4049.233183,4151.62747,4123.5269530000005,4135.477644,4246.004803,4225.468037,4270.949868,4301.736813,4287.157074000001,4188.843259,4115.527239999999,4110.585978,3913.457942,4016.8480710000003,3847.0722,3836.656299,3833.5342590000005,3659.0877950000004,3692.017833
51,Finland,FIN,1244.248246,1250.224178,1300.718252,1339.883022,1156.82543,1236.182095,1254.843909,1238.7315869999998,1285.318458,1220.8458640000001,1197.230614,1254.8942459999998,1479.216959,1697.3323149999999,1920.59318,2160.0704760000003,2362.411757,2555.489231,2723.347061,2883.601192,3129.067214,2429.2244760000003,2072.644265,2913.865179,2694.206023,3793.444675580444
52,Fiji,FJI,3597.0516209999996,3707.951971,3684.7245350000003,3713.185819,3732.521114,3728.9631520000003,3879.8227859999997,3760.712365,3787.108452,3784.0740880000003,3785.7531259999996,3784.928174,3685.869487,3731.609718,3694.4785950000005,3686.359905,3598.8104060000005,3441.640219,3361.980517,3145.585662,3230.615984,2972.153065,3042.859871,2987.700589,2777.3109870000003,2764.5166710000003
53,France,FRA,2585.263224,2079.0525030000003,1776.7678260000002,1548.32339,968.7244368999998,799.8414246,834.0240518999999,755.8259211,716.2329122000001,669.3292011,703.7218082999999,640.3012376,639.4192305,684.5821683999999,707.9865762000002,727.8807339999998,781.2476565000001,865.5928072999999,780.7194535,811.5319791000001,824.5430382000002,943.5439023000001,993.7399332999998,1048.341057,1180.272753,2353.254444030869
54,Gabon,GAB,358.148979,360.02935420000006,362.2653816,368.8978712,373.3117727,380.34923829999997,383.38195939999997,390.6628503,402.8353189,408.2538993,325.5570742,319.7178063,310.10389219999996,286.29281069999996,279.10339669999996,269.7820749,280.16819480000004,273.0545526,266.1197041,280.9763773,298.9124044,311.430297,329.1583537,336.46793419999995,331.8271276,1703.541516418579
55,United Kingdom,GBR,64.66285508,156.03481460122646,160.92626133148482,162.80346305626315,173.99432108582334,183.43574862541485,183.28425530720992,193.4689001559036,197.3730673004131,197.79343830159772,182.43756389207047,184.94056981035993,189.89411762898573,189.07891746488576,72.16723554,69.95974076,71.63305778,81.10517695000001,181.55968640169547,186.0224259471075,191.42168344082327,172.9957571998309,186.01293557658502,214.80848871919244,209.01656613996926,1589.4213471263809
56,Georgia,GEO,76.52752431,157.3354338189679,162.26410137659596,164.31084135453128,169.34964472114072,178.68490099859534,178.32840199967143,187.771580491775,191.57332643212987,191.84529283561517,176.91088954796385,179.05429986894026,183.5011116739991,182.85895184156797,65.47432341,64.6873334,65.33186409,67.30214056,174.18594837493956,178.39664556283984,183.74725882282564,164.79568799460657,178.05932701322854,206.61811838888647,200.94002052907894,1582.0242632999202
57,Ghana,GHA,1421.571120911131,1259.4111113618392,1295.878732044729,1329.2544081659148,1323.0488325555498,1358.7561520902086,1409.3213683576823,1602.93865635482,1632.1809821703828,1669.3154230271075,1549.6910795099711,1641.15506159854,1771.4709074107964,1727.8469605959745,1062.837106,1666.3842659999998,1915.884634,2140.720421,1764.8325763821827,1823.4132992797515,1839.25734017085,1933.696669204892,1893.7943579956752,1973.4268795299972,1943.194762329475,2942.151638732629
58,Guinea,GIN,2102.677685,2094.6215030000003,2129.894516,2090.762365,2138.251953,2147.136479,2206.1038949999997,2282.137035,2389.793153,2390.082866,2506.639948,2578.112105,2597.7482889999997,2666.453637,2711.46679,2753.051201,2742.629961,2734.755835,2745.493459,2649.6612010000003,2482.110116,2407.762736,2403.2304719999997,2128.010669,2123.897891,2182.071093
59,"Gambia, The",GMB,440.93510710000004,644.6301192447786,663.5040761822604,637.8569812869655,691.7641385604428,713.0411108617,735.7428252921007,828.5831537605172,843.9048243039502,860.8687422457748,798.5289643927536,841.1182394429868,902.5606774773933,882.4556379554452,709.1790772999999,754.8395727000001,771.8843508000001,770.0864207999998,777.1359586373992,801.9561406614662,811.2843892971948,835.3147372885393,828.4253079442346,876.3440914017847,861.3585546974263,2138.5210393186235
60,Guinea-Bissau,GNB,487.4107125,487.88004150000006,501.25559839999994,487.01629589999993,500.59257649999995,517.2055684,518.9862486000001,530.3959951999999,563.3306974,604.3118082999999,607.4955299,605.5050029,596.5398034,606.7471081,611.736235,602.3859363,599.5329716,631.5676533,593.720684,668.796352,714.9102220999999,750.6090790000001,749.0445437000001,800.6522342999999,863.5689345000001,2128.71838672771
