,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
44,Dominican Republic,DOM,5.92,7.08,8.59,9.11,11.11,11.630000000000003,12.53,14.22,16.11,16.76,17.52,19.65,22.039999999999996,19.720000000000002,18.98,20.43,22.090000000000003,23.3,23.470000000000002,22.979999999999997,24.31,24.690000000000005,25.440000000000005,25.240000000000002,25.490000000000002,27.859999999999992,29.109999999999996,28.28000000000001
45,Ecuador,ECU,76.19,77.04,79.3,79.07,80.67,83.79,87.13,89.17999999999999,88.1,85.47,84.68,80.58,80.9,81.49,84.15,85.73,88.16,88.29,89.55,92.9,95.69,96.66,97.97000000000003,100.84999999999998,101.69999999999999,100.43000000000002,98.95,97.98999999999997
46,Egypt,EGY,129.29,134.93,140.04,142.31,137.99,146.97,154.39,163.81,170.63,179.47,180.77,193.11,197.49000000000004,204.81999999999996,215.53,234.47,243.23,259.47,271.31,274.82000000000005,277.84,283.86999999999995,294.67,292.61,298.59,307.05000000000007,316.10999999999996,322.56
47,El Salvador,SLV,8.04,8.889999999999999,9.300000000000002,9.840000000000002,10.519999999999998,10.77,10.680000000000001,11.52,11.599999999999998,11.769999999999998,11.63,12.240000000000002,12.439999999999998,12.96,13.27,13.610000000000001,14.04,14.660000000000002,14.089999999999998,13.7,13.45,13.280000000000005,13.430000000000003,12.72,13.000000000000002,13.489999999999995,13.459999999999996,12.82999999999999
48,Equatorial Guinea,GNQ,5.52,5.58,5.630000000000001,6.61,6.659999999999999,6.72,8.74,10.359999999999998,11.86,13.58,15.610000000000001,17.93,21.12,24.16,28.14,30.880000000000003,31.79,29.94,31.140000000000004,31.59,31.22,30.88,30.74,29.630000000000003,27.92,26.51999999999999,24.500000000000004,24.050000000000004
49,Estonia,EST,35.18,31.389999999999997,23.750000000000004,17.94,17.06,15.31,16.21,15.77,15.17,14.019999999999998,13.599999999999998,21.39,21.33,23.010000000000005,23.129999999999995,23.250000000000004,16.570000000000004,20.4,18.890000000000008,15.470000000000004,19.47,21.81,20.600000000000012,23.02999999999999,21.660000000000007,19.24,19.45,20.04
50,Eswatini,SWZ,2.91,2.939999999999999,2.89,2.6200000000000006,2.9399999999999995,2.94,2.85,3.18,3.2899999999999996,3.31,3.2200000000000006,3.05,3.0899999999999994,3.1200000000000006,3.13,3.16,3.0500000000000007,3.3600000000000008,3.2099999999999995,3.079999999999999,3.1,3.12,3.190000000000009,3.6900000000000026,3.1200000000000037,3.1699999999999986,3.3799999999999986,3.2399999999999958
51,Ethiopia,ETH,102.7,104.47,107.01,102.60000000000001,105.0,107.13000000000001,104.06999999999998,106.75,116.98,117.95,111.27000000000001,122.37999999999998,141.72,136.68,138.18,132.49,144.5,144.67,157.29,160.55,164.7,150.22,166.04000000000002,176.96,173.02999999999997,178.36,189.81999999999996,193.63
52,Fiji,FJI,0.14000000000000024,0.16000000000000017,0.20000000000000004,0.26000000000000023,0.31000000000000005,0.38000000000000017,0.42000000000000004,0.4099999999999999,0.36999999999999994,0.33999999999999986,0.3700000000000001,0.2799999999999994,0.10999999999999992,0.26000000000000034,0.6500000000000001,0.45999999999999974,3.2100000000000013,3.1100000000000008,2.819999999999999,2.8699999999999997,2.99,-0.6499999999999976,-0.6699999999999959,-0.5099999999999976,-0.2200000000000035,0.0700000000000038,0.240000000000005,0.3499999999999965
53,Finland,FIN,45.129999999999995,45.04,41.93,43.17999999999999,49.779999999999994,45.78000000000001,52.28000000000001,50.269999999999996,46.59,45.68,44.08,58.660000000000004,61.00999999999999,69.32,65.25,53.080000000000005,60.33,58.39,50.33,46.68,54.75000000000001,72.66000000000001,66.88,67.65,63.56,60.1,62.81,59.85000000000001
