Report generated on: 11-03-2021 14:27:40
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-COL-BDOLPPP.A","        Colombia","NA","NA","NA","NA","NA","NA","NA","NA","240.29","249.457","259.78","266.865","278.105","293.98","306.738","322.696","329.33","340.628","342.568","328.167","338.492","344.172","352.79","366.613","386.164","403.337","430.428","459.431","474.517","479.924","501.496","536.34","557.325","585.938","612.298","630.399","643.558","652.305","669.032","690.984","644.026"
"INTL.4701-34-COM-BDOLPPP.A","        Comoros","NA","NA","NA","NA","NA","NA","NA","NA","1.13406","1.09799","1.15389","1.09163","1.18476","1.22038","1.15598","1.19771","1.18224","1.22989","1.24566","1.26963","1.40736","1.44019","1.47368","1.50468","1.53357","1.57708","1.61883","1.63178","1.69705","1.75136","1.81791","1.89244","1.953","2.04088","2.08374","2.107","2.17697","2.26003","2.33757","2.384","2.38895"
"INTL.4701-34-COG-BDOLPPP.A","        Congo-Brazzaville","NA","NA","NA","NA","NA","NA","NA","NA","9.89813","10.0728","10.1739","10.4176","10.6897","10.585","10.0035","10.4022","11.0671","10.7974","11.1859","10.8949","11.72","12.1665","12.724","12.8268","13.2848","14.3006","16.1664","15.0972","16.0493","17.917","19.6964","20.1308","22.1333","21.9756","23.2843","22.531","20.235","19.2975","18.1003","17.937","16.1482"
"INTL.4701-34-COD-BDOLPPP.A","        Congo-Kinshasa","NA","NA","NA","NA","NA","NA","NA","NA","58.035","57.3002","53.5366","49.0282","43.8803","37.97","36.4892","36.7446","36.3686","34.3258","33.7683","32.3263","30.0923","29.4603","30.3287","32.0204","34.1781","36.2749","38.2051","40.5966","43.1241","44.3553","47.5081","50.7741","54.3724","58.9842","64.5702","69.036","70.6924","73.3271","77.5956","80.9978","78.7206"
"INTL.4701-34-COK-BDOLPPP.A","        Cook Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-CRI-BDOLPPP.A","        Costa Rica","NA","NA","NA","NA","NA","NA","NA","NA","25.2381","26.5531","27.4765","28.2913","30.8944","33.0871","34.5823","36.0188","36.5052","38.5043","41.2594","42.9984","44.6619","46.2211","47.8005","49.8641","52.0704","54.141","58.1078","62.8814","65.8609","65.2856","68.7851","71.8138","75.3202","77.1993","79.9338","82.853","86.3364","89.926","91.7751","93.7647","89.9273"
"INTL.4701-34-HRV-BDOLPPP.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","61.9542","56.9979","60.3608","64.9675","68.8219","73.1016","74.814","74.1164","76.2342","78.4532","82.8664","87.51711","91.1566","95.0383","99.7788","104.794","106.7393","98.93059","97.65991","97.5114","95.2495","94.83209","94.4954","96.716","100.1602","103.5879","106.5126","109.6159","101.1643"
"INTL.4701-34-CUB-BDOLPPP.A","        Cuba","NA","NA","NA","NA","NA","NA","NA","NA","88.3725","88.9735","86.3501","77.1169","68.1863","58.0414","58.4575","59.894","64.5889","66.3814","66.4887","70.6048","74.7815","77.1633","78.2632","81.2321","85.9193","95.5421","107.072","114.846","119.575","121.31","124.21","127.691","131.541","135.155","136.571","142.632","143.365","145.958","149.24","152.228","135.365"
"INTL.4701-34-CYP-BDOLPPP.A","        Cyprus","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17.2404","17.4555","17.9165","19.0117","19.9617","21.1526","21.9884","22.807","23.4056","24.5817","25.7748","26.99","28.3655","29.4005","28.8077","29.3879","29.5062","28.4889","26.622","26.1352","26.976","28.7128","30.1933","31.7755","32.7529","31.0813"
"INTL.4701-34-CZE-BDOLPPP.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","203.3416","207.8545","220.2759","229.4429","228.1964","227.4063","230.1756","240.1994","247.4777","251.1545","260.1456","272.2445","290.4298","310.6352","327.8946","336.1202","320.9695","328.2586","334.0397","331.6856","331.5405","339.0393","357.5844","366.3055","385.9897","398.2624","410.036","386.2298"
