Report generated on: 11-03-2021 14:14:26
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.4008-8-BGR-MMTCD.A","        Bulgaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.378613281","88.988656972","92.019989958","93.020270418","93.086468593","94.806541882","98.947943701","97.329000774","95.309506834","86.772143754","79.086599696","61.192133154","59.09190249","56.113309546","57.318339167","59.962445734","58.542985021","54.63050795","48.09133492","43.349014415","45.000459131","44.485910249","43.352751294","45.907074983","45.91875579","46.119889328","47.050031788","45.639651993","47.779317378","42.301704701","42.034238252","48.149076471","44.463201476","39.923239614","42.663320113","44.948897677","41.729415418","44.124719863","41.542759685","--"
"INTL.4008-8-BFA-MMTCD.A","        Burkina Faso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41825","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.7","0.7","0.7","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.2","1.1","1.2","1.347805637","1.4","1.7","1.7","2.120689116","2.453215462","3.050219119","2.860502377","3.711134","3.006024","3.720961857","2.970056033","--"
"INTL.4008-8-MMR-MMTCD.A","        Burma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.992116551","4.147228388","4.48266176","5.245971943","5.710858266","5.988644434","4.974960441","4.829239803","4.641280829","4.796831159","4.606301365","4.568277037","4.628373717","4.874135966","5.898204773","6.22892826","6.32955927","6.938363594","8.339074609","8.68179232","9.145327951","8.891136346","10.175125861","10.966138825","12.071312831","15.481950297","13.962583744","14.288722125","13.979310418","11.377872195","11.054079744","10.820881064","13.92970753","16.596251228","20.993658634","24.859712296","22.798589147","31.012936688","32.968880216","--"
"INTL.4008-8-BDI-MMTCD.A","        Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0981","0.1","0.09812","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.209395776","0.4","0.2","0.2","0.264970514","0.233810047","0.283664742","0.239258433","0.390188","0.468876","0.52089837","0.44352004","--"
"INTL.4008-8-CPV-MMTCD.A","        Cabo Verde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29932","0.3","0.1","0.1","0.2","0.2","0.05311","0.05748","0.08275","0.09044","0.09635","0.09921","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.3","0.3","0.3","0.360745456","0.3","0.4","0.4","1.003405603","0.844979104","0.840027485","0.909728098","0.905513","0.951232","0.997356969","1.001529634","--"
"INTL.4008-8-KHM-MMTCD.A","        Cambodia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04096","0.04094","0.04094","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1.4","1.5","1.9","2.1","2.1","2.200538997","2.500127286","2.700053036","3.000066661","3.400001234","3.60042594","3.900850645","4.137174501","4.477818794","4.309785587","5.267972787","5.391141647","5.666872056","5.675875513","5.948184081","7.048856393","9.288531015","9.877082077","11.890895952","--"
"INTL.4008-8-CMR-MMTCD.A","        Cameroon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.22945","2.3","2.7","2.7","2.7","2.7","3","2.8","2.7","3.2","3.4","3.5","3.6","2.8","3.1","3.1","3","3.1","3.1","3.2","3.3","3.2","3.2","3.4","3.4","3.4","3.839235198","4.315820519","4.139235198","4.839235198","5.81196958","6.336180487","5.897224026","5.024585929","6.98152875","7.280231735","6.920367464","7.071165269","7.080613401","--"
"INTL.4008-8-CAN-MMTCD.A","        Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","422.549444322","398.856597679","386.261549661","375.03566673","444.738207646","446.79841543","442.048726371","462.800287772","495.158854746","506.298869011","475.866713326","467.0242392","493.520043694","492.91832873","505.755789519","516.875424188","529.575315569","543.309698317","541.215622841","562.904794769","565.031605301","579.141545595","597.528490574","628.479229615","638.790742284","642.750837885","650.690542796","652.170546667","628.723811376","606.87699746","642.694496978","644.455614719","650.336068067","657.169617592","658.272708417","667.642955629","656.534212669","663.537235579","676.982404737","660.298232364"
"INTL.4008-8-CYM-MMTCD.A","        Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0978","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.469614249","0.5","0.6","0.6","0.640238431","0.591050963","0.581374714","0.59238264","0.637089","0.626893","0.717927","0.667298","--"
"INTL.4008-8-CAF-MMTCD.A","        Central African Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13937","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.354199611","0.3","0.3","0.3","0.39045643","0.401034275","0.404893391","0.408906323","0.415213","0.418203","0.413368647","0.417437019","--"
